Price_CLP,Price_UF,Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,id,Realtor,codigo_x,nombre_x,codigo_y,nombre_y
139000000,3906,173101,MAI,Lastorres,5,2.0,127.0,112.0,2.0,10571335,alejandra escanilla garrido,MAI,MAI,MAI,Maipú
91000000,2557,113325,MAI,Elsurazo,3,1.0,55.0,100.0,1.0,11630172,alejandra escanilla garrido,MAI,MAI,MAI,Maipú
190406500,5350,237119,IND,PasajeLeonorCepeda,5,2.0,120.0,240.0,,9679579,Hudson Propiedades,IND,IND,IND,Independencia
140580500,3950,175069,BUI,ComercianteArmandoPérezCarrasco165,4,2.0,101.0,168.0,2.0,10221099,Ambiento Propiedades,BUI,BUI,BUI,Buín
333834200,9380,415734,PUD,losrododendrosponiente,4,3.0,160.0,400.0,2.0,10370614,Tzanis Propiedades,PUD,PUD,PUD,Pudahuel
252689000,7100,314681,PEÑ,QuebradadeMacul,4,3.0,112.0,196.0,2.0,9462617,,PEÑ,PEÑ,PEÑ,Peñalolén
85000000,2388,105853,TAL,VillaEsperanza,2,2.0,80.0,138.0,1.0,9225401,,TAL,TAL,TAL,Talagante
85000000,2388,105853,LAF,LaFlorida,2,1.0,65.0,85.0,1.0,6425368,Difusion Propiedades,LAF,LAF,LAF,La Florida
184356200,5180,229584,QUI,PasajeSantaMagdalenaQuilicur,3,2.0,90.0,149.0,2.0,9743065,Behouse,QUI,QUI,QUI,Quinta Normal
238453000,6700,296953,PUD,LaEsperanza,3,3.0,110.0,190.0,1.0,7146910,Tzanis Propiedades,PUD,PUD,PUD,Pudahuel
309633000,8700,385595,PUD,LosAlmendros,5,3.0,165.0,400.0,2.0,7016500,Tzanis Propiedades,PUD,PUD,PUD,Pudahuel
190406500,5350,237119,MAI,CondominioLasCatalpas2,4,4.0,130.0,130.0,1.0,6992761,Tzanis Propiedades,MAI,MAI,MAI,Maipú
347002500,9750,432133,PUD,Efeso,4,3.0,140.0,550.0,2.0,8201406,Tzanis Propiedades,PUD,PUD,PUD,Pudahuel
291838000,8200,363435,PUD,CerrodeloAguirre,3,3.0,130.0,300.0,3.0,10653655,Tzanis Propiedades,PUD,PUD,PUD,Pudahuel
293617500,8250,365651,PUD,LosAbedules,3,3.0,125.0,850.0,2.0,9951428,Tzanis Propiedades,PUD,PUD,PUD,Pudahuel
297176500,8350,370083,PUD,Callenuevaunosur,4,3.0,120.0,420.0,2.0,9644944,Tzanis Propiedades,PUD,PUD,PUD,Pudahuel
241656100,6790,300942,PUD,EsterodelCobre,3,3.0,130.0,170.0,1.0,10930337,Tzanis Propiedades,PUD,PUD,PUD,Pudahuel
533850000,15000,664819,LAF,LaFlorida,16,12.0,389.0,890.0,3.0,2988676,Difusion Propiedades,LAF,LAF,LAF,La Florida
180000000,5058,224159,MAI,LasNaciones,5,3.0,136.0,153.0,2.0,9274473,,MAI,MAI,MAI,Maipú
168000000,4720,209215,PAD,CaminoBajosdeSta.Cruz342,4,3.0,130.0,180.0,2.0,10340252,,PAD,PAD,PAD,Padre Hurtado
109900000,3088,136862,MAI,Pje.ArmandoCortinez345,3,2.0,85.0,120.0,1.0,10340294,,MAI,MAI,MAI,Maipú
160000000,4496,199253,PUE,CondominioJardinesdeLasVizcachas,3,3.0,85.0,180.0,2.0,6359377,Carolina Martinez Propiedades,PUE,PUE,PUE,Puente Alto
155000000,4355,193026,TIL,Tiltil,7,3.0,250.0,1000.0,8.0,3776733,Difusion Propiedades,TIL,TIL,TIL,Tiltil
444875000,12500,554016,LOB,ElRodeo-NidodeAguilas,6,4.0,176.0,275.0,2.0,2652853,Bello Propiedades Gestión Inmobiliaria,LOB,LOB,LOB,Lo Barnechea
153037000,4300,190582,MAI,CalleSantaNidia,4,3.0,107.0,145.0,,4003310,,MAI,MAI,MAI,Maipú
170000000,4777,211706,CON,Nilahue,6,2.0,,,,11608988,Kvs properties,CON,CON,CON,Conchalí
90000000,2529,112080,SAN,Verdi,4,2.0,,85.0,,11608956,Kvs properties,SAN,SAN,SAN,Santiago
136000000,3821,169365,SAN,CondominioBarriónuevodenos,3,3.0,92.0,148.0,1.0,9060758,G A M P. Propiedades,SAN,SAN,SAN,Santiago
119000000,3344,148194,MAI,Elsurazo,5,2.0,113.0,108.0,2.0,8805661,alejandra escanilla garrido,MAI,MAI,MAI,Maipú
135000000,3793,168120,MAI,SantaBerta,4,3.0,93.0,124.0,,9142610,alejandra escanilla garrido,MAI,MAI,MAI,Maipú
270484000,7600,336842,LAF,Sta.Delia7718,5,3.0,152.0,200.0,3.0,7806625,,LAF,LAF,LAF,La Florida
175000000,4917,217933,MAI,RamayanacercaMetroPlazaMaipu,4,2.0,110.0,130.0,3.0,3995128,Sucasa Gestión Inmobiliaria,MAI,MAI,MAI,Maipú
391490000,11000,487534,PRO,MiguelClaro1950,4,2.0,229.0,248.0,2.0,9542577,Sucasa Gestión Inmobiliaria,PRO,PRO,PRO,Providencia
325000000,9132,404732,BUI,Maipú490,4,2.0,127.0,450.0,4.0,9379847,,BUI,BUI,BUI,Buín
85000000,2388,105853,SAN,Carpay984,4,2.0,70.0,80.0,1.0,11572248,,SAN,SAN,SAN,Santiago
354120500,9950,440997,COL,Sta.Elena278,3,3.0,118.0,350.0,3.0,9196861,Behouse,COL,COL,COL,Colina
81857000,2300,101939,PAD,pasajenarciso1809,3,2.0,53.0,65.0,1.0,10851413,,PAD,PAD,PAD,Padre Hurtado
165000000,4636,205479,PUE,Neculan,4,2.0,110.0,150.0,2.0,7469698,,PUE,PUE,PUE,Puente Alto
162000000,4552,201743,PUE,Mapulemu,3,2.0,80.0,140.0,1.0,9861911,,PUE,PUE,PUE,Puente Alto
1032110000,29000,1285318,LAR,PalmasdeMallorca,7,6.0,260.0,700.0,4.0,9364512,,LAR,LAR,LAR,La Reina
426724100,11990,531412,HUE,ElCarmen,4,3.0,170.0,450.0,5.0,11435116,Giordano Propiedades,HUE,HUE,HUE,Huechuraba
153037000,4300,190582,CON,Av.CardenalJoséMaríaCaro3638,5,2.0,248.0,292.0,2.0,6715809,Paz  Legal & Home,CON,CON,CON,Conchalí
139000000,3906,173101,REC,AvenidaMéxico,6,2.0,140.0,,,6716881,Paz  Legal & Home,REC,REC,REC,Recoleta
130000000,3653,161893,LAM,ValleGrande,2,1.0,60.0,100.0,3.0,10895192,Paz  Legal & Home,LAM,LAM,LAM,Lampa
177950000,5000,221606,MAI,Huenteno,5,3.0,100.0,166.0,2.0,9546935,,MAI,MAI,MAI,Maipú
188627000,5300,234903,PEÑ,CondominioSol,3,3.0,90.0,120.0,3.0,9978976,,PEÑ,PEÑ,PEÑ,Peñalolén
80000000,2248,99626,SAN,Villaalameda,4,3.0,,,2.0,11449618,Propital,SAN,SAN,SAN,Santiago
305718100,8590,380720,HUE,ElSauce,4,4.0,140.0,250.0,3.0,11429525,Giordano Propiedades,HUE,HUE,HUE,Huechuraba
444839410,12499,553972,HUE,SantaMartadeHuechuraba,5,5.0,180.0,580.0,5.0,7971323,Mpm Propiedades Limitada,HUE,HUE,HUE,Huechuraba
115000000,3231,143213,ELM,IgnacioPalmaVicuña218,3,3.0,100.0,170.0,2.0,11440454,Propital,ELM,ELM,ELM,El Monte
316751000,8900,394460,ÑUÑ,DoctorGenaroBenavides,4,3.0,145.0,285.0,3.0,11433288,,ÑUÑ,ÑUÑ,ÑUÑ,Ñuñoa
261195010,7339,325274,PRO,DiegodeAlmagroconSuecia,4,3.0,94.0,104.0,1.0,11425958,Propital,PRO,PRO,PRO,Providencia
40000000,1124,49813,SAN,JuanMartínezdeRozas2454,3,1.0,37.0,32.0,,11423079,Rosario,SAN,SAN,SAN,Santiago
99000000,2782,123288,MAC,JorgeGonzálezBastías4215,2,1.0,70.0,128.0,1.0,9630477,Rosario,MAC,MAC,MAC,Macul
56000000,1573,69738,PED,Pje.43276,3,1.0,65.0,70.0,,9630592,Rosario,PED,PED,PED,Pedro Aguirre Cerda
709308700,19930,883323,SAN,Sta.Elena1130,7,3.0,3467.0,752.0,4.0,10721217,,SAN,SAN,SAN,Santiago
571895710,16069,712199,ÑUÑ,Hannoverconestrellasolitaria,6,2.0,157.0,408.0,6.0,11417583,Propital,ÑUÑ,ÑUÑ,ÑUÑ,Ñuñoa
4520,0,6,SAN,CostaneraFerreaPoniente,4,3.0,82.0,140.0,4.0,11399089,Zerpa Propiedades,SAN,SAN,SAN,Santiago
150000000,4215,186800,PEÑ,Peñalolén,5,4.0,130.0,175.0,3.0,6211455,Difusion Propiedades,PEÑ,PEÑ,PEÑ,Peñalolén
320310000,9000,398892,BUI,AltoSacramento,4,3.0,188.0,350.0,6.0,11381269,,BUI,BUI,BUI,Buín
198000000,5563,246575,EST,EstaciónCentral,7,3.0,180.0,120.0,2.0,5395066,Difusion Propiedades,EST,EST,EST,Estación Central
601471000,16900,749030,COL,CondominioCanquénNorte,4,3.0,270.0,580.0,4.0,9752751,Sucasa Gestión Inmobiliaria,COL,COL,COL,Colina
137000000,3849,170610,CON,SeisPoniente,6,2.0,156.0,192.0,1.0,5093646,Ascaim Propiedades,CON,CON,CON,Conchalí
137021500,3850,170637,PUE,LosCastaños1059,3,1.0,85.0,185.0,2.0,11338850,Ambiento Propiedades,PUE,PUE,PUE,Puente Alto
183500000,5156,228518,SAN,CondominioParqueBalmaceda,4,3.0,108.0,182.0,2.0,3513793,Balance,SAN,SAN,SAN,Santiago
560000000,15735,697385,BUI,Calleelbosque,6,3.0,550.0,2000.0,3.0,5857769,Sucasa Gestión Inmobiliaria,BUI,BUI,BUI,Buín
265000000,7446,330012,MAC,Av.Marathon2400,4,2.0,144.0,221.0,3.0,7580054,Sucasa Gestión Inmobiliaria,MAC,MAC,MAC,Macul
11057,0,14,PRO,MiguelClaroconSantaIsabelProvidencia,3,2.0,229.0,248.0,2.0,10929361,Sucasa Gestión Inmobiliaria,PRO,PRO,PRO,Providencia
134530200,3780,167534,MAI,Av.BosqueAlto3129,3,3.0,76.0,118.0,2.0,9231182,Ambiento Propiedades,MAI,MAI,MAI,Maipú
354000000,9947,440847,CAL,SanJosédeTango,3,3.0,218.0,5000.0,6.0,8310493,G A M P. Propiedades,CAL,CAL,CAL,Calera de Tango
150000000,4215,186800,IND,LongitudinalSeis1223,3,1.0,76.0,145.0,1.0,11010819,,IND,IND,IND,Independencia
120000000,3372,149440,MAI,Berkley,4,1.0,170.0,220.0,1.0,10801762,,MAI,MAI,MAI,Maipú
135242000,3800,168421,BUI,PastorPoncianoYañez,3,2.0,89.0,212.0,2.0,8620279,Ambiento Propiedades,BUI,BUI,BUI,Buín
138089200,3880,171967,PAD,FernandoMuñozRojas1133,3,2.0,74.0,140.0,1.0,11252860,,PAD,PAD,PAD,Padre Hurtado
75900000,2133,94521,LAF,SantaJulia,6,2.0,110.0,154.0,1.0,10563501,Intermedia Propiedades,LAF,LAF,LAF,La Florida
294685200,8280,366980,SAN,Colin,5,3.0,263.0,23000.0,,9347456,Corretaje Boutique,SAN,SAN,SAN,Santiago
533850000,15000,664819,LAS,DomingoBondi/AlonsodeCamargo,4,2.0,170.0,468.0,3.0,11212213,Lorraine Landon Propiedades,LAS,LAS,LAS,Las Condes
80000000,2248,99626,PAD,Sanbenedictino52villaSantafe,5,3.0,106.0,168.0,2.0,10223385,,PAD,PAD,PAD,Padre Hurtado
142360000,4000,177285,LAM,LaMontañaNte.3650,3,3.0,84.0,133.0,2.0,8722194,Behouse,LAM,LAM,LAM,Lampa
77799740,2186,96886,SAN,RinconadadeNos,2,1.0,78.0,70.0,2.0,10633223,Hernán Arriagada,SAN,SAN,SAN,Santiago
179729500,5050,223823,LAF,Casaenpasajecerrado,3,2.0,92.0,179.0,2.0,9141583,Punto Exacto Corredora de Propiedades Ltda.,LAF,LAF,LAF,La Florida
138801000,3900,172853,EST,MigueldeCervantes,3,1.0,77.0,171.0,1.0,9023136,Sp Rios Propiedades,EST,EST,EST,Estación Central
960930000,27000,1196675,LAF,Lientur,4,4.0,182.0,1600.0,5.0,3002413,Sp Rios Propiedades,LAF,LAF,LAF,La Florida
925340000,26000,1152354,SAN,AvenidaRicardoLyon/DiegodeAlmagro,5,3.0,254.0,490.0,4.0,11083332,Lorraine Landon Propiedades,SAN,SAN,SAN,Santiago
115000000,3231,143213,PED,Alhué3004,4,2.0,90.0,100.0,1.0,10090797,Arévalo Propiedades,PED,PED,PED,Pedro Aguirre Cerda
102641560,2884,127823,PUE,Abtao,3,1.0,61.0,108.0,2.0,11066473,Bissac,PUE,PUE,PUE,Puente Alto
65500000,1840,81569,PAI,ParqueNacionalAltosdeLircay,2,1.0,54.0,97.0,1.0,11029691,,PAI,PAI,PAI,Paine
115000000,3231,143213,PAI,LasAcacias112,3,1.0,60.0,1164.0,,9464865,,PAI,PAI,PAI,Paine
462670000,13000,576177,PEÑ,AlvaroCasanova355,4,3.0,140.0,260.0,2.0,11011207,Samsara Propiedades y Asesorías,PEÑ,PEÑ,PEÑ,Peñalolén
72000000,2023,89664,PAD,VillaParquedelSol,3,2.0,65.0,90.0,1.0,9643153,Mauro Propiedades,PAD,PAD,PAD,Padre Hurtado
140000000,3934,174346,PUE,CalleCardenalFresno,3,3.0,92.0,172.0,4.0,7675587,Mauro Propiedades,PUE,PUE,PUE,Puente Alto
160000000,4496,199253,REC,Av.Valdivieso640,6,3.0,,250.0,,10971135,Alessandro Matteucci Cajas,REC,REC,REC,Recoleta
252333100,7090,314238,SAN,VolcánPomerape.,3,2.0,83.0,750.0,6.0,10957028,Propiedades Abarca,SAN,SAN,SAN,Santiago
409285000,11500,509695,LAR,PríncipedeGales,5,4.0,150.0,250.0,2.0,10953746,,LAR,LAR,LAR,La Reina
115952220,3258,144399,SAN,PasajeRemi,3,2.0,63.0,107.0,2.0,10730488,Propiedades Abarca,SAN,SAN,SAN,Santiago
242012000,6800,301385,PEÑ,AlbertoOrregoLuco,3,2.0,98.0,227.0,2.0,10916394,Lorraine Landon Propiedades,PEÑ,PEÑ,PEÑ,Peñalolén
210000000,5901,261519,LAF,Sinaí,4,2.0,153.0,173.0,2.0,6558925,Paz  Legal & Home,LAF,LAF,LAF,La Florida
206422000,5800,257064,BUI,AltoSacramento,4,3.0,130.0,216.0,2.0,8631344,,BUI,BUI,BUI,Buín
97000000,2725,120797,MAI,NemesioAntunez,3,3.0,79.0,106.0,2.0,7726360,,MAI,MAI,MAI,Maipú
295397000,8300,367867,LAC,Pintados180,5,2.0,150.0,330.0,3.0,10878080,Rodrigo Cañas de la Cerda Propiedades,LAC,LAC,LAC,La Cisterna
75000000,2107,93400,MEL,entretacnaconyungaymelipilla,3,1.0,43.0,198.0,2.0,8876766,Paula Vivanco Arenas,MEL,MEL,MEL,Melipilla
320310000,9000,398892,LAF,¡Miraesto!¡Esespectacular!RojasMagallanes,4,4.0,177.0,259.0,3.0,4870914,Punto Exacto Corredora de Propiedades Ltda.,LAF,LAF,LAF,La Florida
125000000,3512,155666,MAC,Montevideo,3,1.0,81.0,160.0,3.0,8174557,Novavista,MAC,MAC,MAC,Macul
105000000,2950,130760,LAR,Cordillera,4,1.0,70.0,135.0,1.0,6128942,Novavista,LAR,LAR,LAR,La Reina
480465000,13500,598337,COL,PortalLosMaitenes,3,3.0,167.0,400.0,3.0,9531622,Tym Corredoras,COL,COL,COL,Colina
252689000,7100,314681,LAF,EnriqueOlivaresconAlicahue,4,2.0,100.0,240.0,2.0,10697355,,LAF,LAF,LAF,La Florida
323869000,9100,403324,COL,CaminodelMimo,5,4.0,139.0,330.0,2.0,10686291,,COL,COL,COL,Colina
373695000,10500,465374,SAN,Eyzaguirre1210,10,4.0,200.0,662.0,8.0,10680700,,SAN,SAN,SAN,Santiago
227000000,6378,282690,QUI,ValleLoCampino,5,3.0,178.0,216.0,1.0,9742504,G A M P. Propiedades,QUI,QUI,QUI,Quinta Normal
151257500,4250,188366,IND,Gral.Saavedra1324,7,2.0,197.0,225.0,,9555440,Román Propiedades,IND,IND,IND,Independencia
266925000,7500,332410,LAF,CascadadelaPalomaSur,3,3.0,121.0,290.0,2.0,10656285,Samsara Propiedades y Asesorías,LAF,LAF,LAF,La Florida
143000000,4018,178082,REC,DoctorSoterodelRío&Huasco,4,2.0,160.0,300.0,2.0,7755357,Navacasa Propiedades,REC,REC,REC,Recoleta
75000000,2107,93400,PUE,PedroNúñezFernández,2,1.0,56.0,80.0,2.0,9634508,,PUE,PUE,PUE,Puente Alto
69500000,1953,86550,BUI,SanFélix129,2,1.0,54.0,82.0,1.0,9552084,,BUI,BUI,BUI,Buín
140000000,3934,174346,PUE,SanExpedito,3,2.0,90.0,110.0,1.0,10199601,,PUE,PUE,PUE,Puente Alto
907545000,25500,1130193,LOB,LasPataguas,5,6.0,320.0,1040.0,6.0,10572453,,LOB,LOB,LOB,Lo Barnechea
75000000,2107,93400,PAD,Villacentenario,2,1.0,60.0,90.0,1.0,10371383,Propiedades Coda,PAD,PAD,PAD,Padre Hurtado
120000000,3372,149440,PEÑ,DonVicente,3,3.0,130.0,150.0,2.0,10371607,Propiedades Coda,PEÑ,PEÑ,PEÑ,Peñalolén
64500000,1812,80324,PUE,SargentoMenadier,5,2.0,130.0,115.0,2.0,10563302,Intermedia Propiedades,PUE,PUE,PUE,Puente Alto
409534130,11507,510005,MAI,ManuelRodríguez,5,2.0,,700.0,8.0,5964993,,MAI,MAI,MAI,Maipú
79000000,2220,98381,EST,Anay,3,2.0,80.0,160.0,1.0,8723620,Arévalo Propiedades,EST,EST,EST,Estación Central
205000000,5760,255293,SAN,Cuevas/Maule,7,3.0,161.0,185.0,,8677192,,SAN,SAN,SAN,Santiago
240000000,6743,298879,SAN,Carmen/Barretos,5,3.0,190.0,250.0,1.0,8677225,,SAN,SAN,SAN,Santiago
88000000,2473,109589,PUD,LosTricahues,3,2.0,65.0,90.0,2.0,6431360,,PUD,PUD,PUD,Pudahuel
74000000,2079,92154,MAI,BanderaChilena,4,2.0,50.0,69.0,1.0,9674826,alejandra escanilla garrido,MAI,MAI,MAI,Maipú
130000000,3653,161893,ELB,FedericoGana,5,3.0,,97.0,3.0,10350195,Margarita Leiva Catalan,ELB,ELB,ELB,El Bosque
448434000,12600,558448,LAR,SectorBlestGanaL3CastilloVelasco,3,2.0,228.0,451.0,3.0,9153550,Bello Propiedades Gestión Inmobiliaria,LAR,LAR,LAR,La Reina
240232500,6750,299169,BUI,AltoSacramento,4,3.0,119.0,220.0,2.0,9140364,,BUI,BUI,BUI,Buín
227776000,6400,283656,LAS,MartíndeZamora/lareconquista,2,1.0,60.0,80.0,,10327869,Kinast Propiedades,LAS,LAS,LAS,Las Condes
130000000,3653,161893,LAM,LosHalcones,3,1.0,85.0,180.0,3.0,10284765,Alessandro Matteucci Cajas,LAM,LAM,LAM,Lampa
185000000,5198,230386,SAN,EstadioMunicipalSanRamón,3,2.0,,214.0,1.0,10257751,Propiedades Anderson Ltda,SAN,SAN,SAN,Santiago
273000000,7671,339975,PEÑ,LosJardineros,4,2.0,250.0,500.0,4.0,7742050,Helena de Troya,PEÑ,PEÑ,PEÑ,Peñalolén
180000000,5058,224159,LOP,LosPlátanosxxx6,8,8.0,139.0,282.0,3.0,7844718,,LOP,LOP,LOP,Lo Prado
286499500,8050,356786,PEÑ,ElOlivillo5956,5,3.0,131.0,241.0,1.0,5311878,Arévalo Propiedades,PEÑ,PEÑ,PEÑ,Peñalolén
120000000,3372,149440,MAI,CerroBlanco,2,2.0,75.0,149.0,1.0,10084070,Codalu Propiedades,MAI,MAI,MAI,Maipú
